date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:01:32	41023/41023	---M-Z	200	added ('OK')	text/html	etag:%22a03f-657400aa-3187b;gz%22	https://html.dynamiclayers.net/dl/charitify/index.html	C:/My%20Web%20Sites/Ngo/html.dynamiclayers.net/dl/charitify/index.html	(from )
19:01:32	663/663	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2011%20Jan%202024%2013:31:34%20GMT	https://html.dynamiclayers.net/robots.txt		(from )
19:01:33	14828/14828	---M--	200	added ('OK')	image/png	etag:%2239ec-657400b8-31a9d;;;%22	https://html.dynamiclayers.net/dl/charitify/img/favicon.png	C:/My%20Web%20Sites/Ngo/html.dynamiclayers.net/dl/charitify/img/favicon.png	(from https://html.dynamiclayers.net/dl/charitify/index.html)
19:01:35	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%227918-657400b6-31a5a;gz%22	https://html.dynamiclayers.net/dl/charitify/css/font-awesome.min.css	C:/My%20Web%20Sites/Ngo/html.dynamiclayers.net/dl/charitify/css/font-awesome.min.css	(from https://html.dynamiclayers.net/dl/charitify/index.html)
19:01:35	13862/13862	---M-Z	200	added ('OK')	text/css	etag:%223626-657400b6-31a60;gz%22	https://html.dynamiclayers.net/dl/charitify/css/themify-icons.css	C:/My%20Web%20Sites/Ngo/html.dynamiclayers.net/dl/charitify/css/themify-icons.css	(from https://html.dynamiclayers.net/dl/charitify/index.html)
19:01:36	25252/25252	---M-Z	200	added ('OK')	text/css	etag:%2262a4-657400b6-31a58;gz%22	https://html.dynamiclayers.net/dl/charitify/css/elegant-font-icons.css	C:/My%20Web%20Sites/Ngo/html.dynamiclayers.net/dl/charitify/css/elegant-font-icons.css	(from https://html.dynamiclayers.net/dl/charitify/index.html)
19:01:36	7067/7067	---M-Z	200	added ('OK')	text/css	etag:%221b9b-657400b6-31a59;gz%22	https://html.dynamiclayers.net/dl/charitify/css/elegant-line-icons.css	C:/My%20Web%20Sites/Ngo/html.dynamiclayers.net/dl/charitify/css/elegant-line-icons.css	(from https://html.dynamiclayers.net/dl/charitify/index.html)
19:01:37	144877/144877	---M-Z	200	added ('OK')	text/css	etag:%22235ed-657400b6-31a55;gz%22	https://html.dynamiclayers.net/dl/charitify/css/bootstrap.min.css	C:/My%20Web%20Sites/Ngo/html.dynamiclayers.net/dl/charitify/css/bootstrap.min.css	(from https://html.dynamiclayers.net/dl/charitify/index.html)
19:01:37	19880/19880	---M-Z	200	added ('OK')	text/css	etag:%224da8-657400d5-31fa7;gz%22	https://html.dynamiclayers.net/dl/charitify/css/venobox/venobox.css	C:/My%20Web%20Sites/Ngo/html.dynamiclayers.net/dl/charitify/css/venobox/venobox.css	(from https://html.dynamiclayers.net/dl/charitify/index.html)
19:01:38	4614/4614	---M-Z	200	added ('OK')	text/css	etag:%221206-657400b6-31a5d;gz%22	https://html.dynamiclayers.net/dl/charitify/css/owl.carousel.css	C:/My%20Web%20Sites/Ngo/html.dynamiclayers.net/dl/charitify/css/owl.carousel.css	(from https://html.dynamiclayers.net/dl/charitify/index.html)
